state,poverty_rate,median_hh_income
Alabama,15.7,59609
Alaska,10.5,86370
Arizona,13.1,72581
Arkansas,16.2,56335
California,12.1,91905
Colorado,9.6,87598
Connecticut,10.1,90213
Delaware,11.1,79325
District of Columbia,15.1,101722
Florida,12.9,67917
Georgia,13.5,71355
Hawaii,9.6,94814
Idaho,11.0,70214
Illinois,11.8,78433
Indiana,12.3,67173
Iowa,11.1,70571
Kansas,11.6,69747
Kentucky,16.1,60183
Louisiana,18.7,57852
Maine,10.9,68251
Maryland,9.3,98461
Massachusetts,9.9,96505
Michigan,13.1,68505
Minnesota,9.3,84313
Mississippi,19.2,52985
Missouri,12.8,65920
Montana,12.4,66341
Nebraska,10.4,71722
Nevada,12.7,71646
New Hampshire,7.3,90845
New Jersey,9.7,97126
New Mexico,18.3,58722
New York,13.6,81386
North Carolina,13.3,66186
North Dakota,10.8,73959
Ohio,13.3,66990
Oklahoma,15.2,61364
Oregon,11.9,76632
Pennsylvania,11.8,73170
Rhode Island,11.2,81370
South Carolina,14.4,63623
South Dakota,12.3,69457
Tennessee,14.0,64035
Texas,13.9,73035
Utah,8.5,86833
Vermont,10.4,74014
Virginia,10.0,87249
Washington,9.9,90325
West Virginia,16.8,55217
Wisconsin,10.7,72458
Wyoming,10.7,72495
Puerto Rico,42.2,24002
